nse_symbol,yahoo_symbol,company_name,yahoo_sector,sector_index_name,sector_index_symbol
BALRAMCHIN,BALRAMCHIN.NS,Balrampur Chini Mills Limited,Consumer Defensive,NIFTY FMCG,^CNXFMCG
BALUFORGE,BALUFORGE.NS,Balu Forge Industries Limited,Industrials,NIFTY INFRA,^CNXINFRA
BANARBEADS,BANARBEADS.NS,Banaras Beads Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
BANARISUG,BANARISUG.NS,Bannari Amman Sugars Limited,Consumer Defensive,NIFTY FMCG,^CNXFMCG
BANCOINDIA,BANCOINDIA.NS,Banco Products (India) Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
BANDHANBNK,BANDHANBNK.NS,Bandhan Bank Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
BANG,BANG.NS,Bang Overseas Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
BANKA,BANKA.NS,Banka BioLoo Limited,Industrials,NIFTY INFRA,^CNXINFRA
BANKBARODA,BANKBARODA.NS,Bank of Baroda Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
BANKINDIA,BANKINDIA.NS,Bank of India Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
BANSALWIRE,BANSALWIRE.NS,BANSALWIRE,Basic Materials,NIFTY METAL,^CNXMETAL
